,song_id,song,artist,lyrics,views,genre,acutal_lyrics
10,811,Without Me,Eminem,https://genius.com/Eminem-without-me-lyrics,10033027,Hip-Hop,"['Obie Trice real name no gimmicksRa', 'Two trailerpark girls go round the outside', 'Round the outside round the outsideTwo trailerpark girls go round the outsideRound the outside round the outsideWoo Ooh ooh', ""Guess who's back back again"", ""Shady's back tell a friend"", ""Guess who's back guess who's backGuess who's back guess who's backGuess who's back guess who's backGuess who's back"", 'Verse 1 Eminem', ""I've created a monster'Cause nobody wants to see Marshall no more they want Shady I'm chopped liver"", ""Well if you want Shady this is what I'll give yaA little bit of weed mixed with some hard liquor"", ""Some vodka that'll jumpstart my heart quickerThan a shock when I get shocked at the hospitalBy the doctor when I'm not cooperating"", ""When I'm rockin' the table while he's operating Hey"", 'You waited this long now stop debating', ""'Cause I'm back I'm on the rag and ovulating"", ""I know that you got a job Ms. CheneyBut your husband's heart problem's complicating"", ""So the FCC won't let me beOr let me be me so let me see"", 'They tried to shut me down on MTVBut it feels so empty without me', 'So come on and dip bum on your lips', ""Fuck that cum on your lips and some on your titsAnd get ready 'cause this shit's about to get heavy"", 'I just settled all my lawsuits Fuck you Debbie']"
11,1797,Mockingbird,Eminem,https://genius.com/Eminem-mockingbird-lyrics,9948512,Hip-Hop,"['YeahI know sometimesThings may not always make sense to you right now', 'But heyWhat Daddy always tell youStraighten up little soldierStiffen up that upper lip', ""What you cryin' aboutYou got me"", ""Hailie I know you miss your mom and I know you miss your dadWhen I'm gone but I'm tryin' to give you the life that I never had"", ""Lainie Uncle's crazy ain't he Yeah but he loves you girl and you better know it"", ""Lookin' puzzled in a daze I know it's confusin' youDaddy's always on the move Mama's always on the news"", ""But things have got so bad between us I don't see us ever bein'Together ever again like we used to be when we was teenagers""]"
12,2845980,Bad and Boujee,Migos (Ft. Lil Uzi Vert),https://genius.com/Migos-bad-and-boujee-lyrics,9855438,Rap,"[""You know young rich niggasYou know somethin' we ain't really never had no old moneyWe got a whole lotta new money though hah"", ""If Young Metro don't trust you I'm gon' shoot you"", ""Raindrop Drip droptop DroptopSmokin' on cookie in the hotbox Cookie"", ""Fuckin' on your bitch she a thot thot Thot"", ""Cookin' up dope in the crockpot Pot"", ""We came from nothin' to somethin' nigga Hey"", 'Cry me a river give you a tissue Hey', 'My bitch is bad and bougie Bad', ""Cookin' up dope with a Uzi BlaowMy niggas is savage ruthless SavageWe got 30s and hundredrounds too Grrah"", 'My bitch is bad and bougie Bad', ""Cookin' up dope with a Uzi Dope"", 'My niggas is savage ruthless HeyWe got 30s and hundredrounds too Glah', 'Offset woo woo woo woo woo', 'Rackaids on rackaids Racks got backends on backends', ""I'm ridin' around in a coupe Coupe"", ""I take your bih' right from you You"", ""Bitch I'm a dog roof GrrBeat the ho walls loose Hey"", 'Hop in the frog whoo Skrrt', 'Yeah pull up in Ghosts Woo', ""Yeah my diamond's a choker Glah"", ""Holdin' the fire with no holster Blaow"", 'Rick the Ruler diamonds cooler Cooler', ""This a Rollie not a Muller HeyDabbin' on 'em like the usual Dab"", 'Magic with the brick do voodoo Magic', 'Courtside with a bad bitch Bitch', ""I'm young and rich and plus I'm bougie Hey"", ""I'm not stupid so I keep the Uzi Rrah"", ""Rackaids on rackaids got backends on backendsSo my money makin' my back ache Aagh"", 'You niggas got a low Act rate Act', 'We from the Nawf yeah Dat Way Nawf', 'Fat Cookie blunt in the ashtray Cookie', 'I let them birds take a bath bae Brr']"
13,3315890,God’s Plan,Drake,https://genius.com/Drake-gods-plan-lyrics,9839876,Rap,"[""And they wishin' and wishin'And wishin' and wishin' they wishin' on meYeah"", ""I been movin' calm don't start no trouble with meTryna keep it peaceful is a struggle for me"", ""Don't pull up at 6 a.m. to cuddle with meYou know how I like it when you lovin' on me"", ""I don't wanna die for them to miss me"", ""Yes I see the things that they wishin' on me"", ""Hope I got some brothers that outlive meThey gon' tell the story shit was different with me"", ""God's plan God's plan"", ""I hold back sometimes I won't yeah"", ""I feel good sometimes I don't Ayy don't"", ""I finessed down Weston Road Ayy 'nessed"", 'Might go down a GOD Yeah wait', 'I go hard on Southside G Yeah wait', 'I make sure that northside eat', 'And still', ""Bad thingsIt's a lot of bad things that they wishin' and wishin'And wishin' and wishin' they wishin' on meBad thingsIt's a lot of bad things that they wishin' and wishin'And wishin' and wishin' they wishin' on meYeah ayy ayy""]"
14,2851948,Starboy,The Weeknd (Ft. Daft Punk),https://genius.com/The-weeknd-starboy-lyrics,9438011,R&B,"['Verse 1', ""I'm tryna put you in the worst mood ah"", 'P1 cleaner than your church shoes ahMilli point two just to hurt you ah', ""All red Lamb' just to tease you ahNone of these toys on lease too ahMade your whole year in a week too yah"", 'Main bitch outta your league too ahSide bitch outta your league too ah', 'PreChorus', 'House so empty need a centerpiece', 'Twenty racks a table cut from ebonyCut that ivory into skinny piecesThen she clean it with her face man I love my baby ah', ""You talkin' money need a hearin' aidYou talkin' 'bout me I don't see the shadeSwitch up my style I take any laneI switch up my cup I kill any pain"", ""Hahahahaha hahahahahaLook what you've doneHahahahaha hahahahahaI'm a motherfuckin' starboyHahahahaha hahahahahaLook what you've doneHahahahaha hahahahahaI'm a motherfuckin' starboy""]"
15,4063065,"thank u, next",Ariana Grande,https://genius.com/Ariana-grande-thank-u-next-lyrics,9357682,R&B,"[""Thought I'd end up with SeanBut he wasn't a match"", 'Wrote some songs about RickyNow I listen and laugh', ""Even almost got marriedAnd for Pete I'm so thankful"", ""Wish I could say Thank you to Malcolm'Cause he was an angel"", ""One taught me loveOne taught me patienceAnd one taught me painNow I'm so amazingSay I've loved and I've lostBut that's not what I seeSo look what I gotLook what you taught meAnd for that I say"", ""Thank you next NextThank you next NextThank you nextI'm so fuckin' grateful for my exThank you next NextThank you next NextThank you next NextI'm so fuckin'""]"
16,3003630,XO Tour Llif3,Lil Uzi Vert,https://genius.com/Lil-uzi-vert-xo-tour-llif3-lyrics,9205581,Rap,"[""Are you alrightI'm alright I'm quite alrightAnd my money's right"", '8 Yeah', ""Countin' them bands all way to the top 'til they be fallin' over Yeah yeah yeahCountin' them bands on my way to the top 'til it's fallin' over"", ""I don't really care if you cryOn the real you should've never liedShould've saw the way she looked me in my eyes"", 'She said Baby I am not afraid to diePush me to the edgeAll my friends are dead push me to the edgeAll my friends are dead push me to the edgeAll my friends are dead push me to the edge', ""Phantom that's all red inside all whiteLike somethin' you ride a sled down I just want that head"", 'My bracelet Herms her bracelet Herms now', 'Everybody got the same swag nowWatch the way that I tear it down', ""Stackin' my bands all the way to the topAll the way 'til my bands fallin' over"", ""Every time that you leave your spotYour girlfriend call me like Come on overI like the way that she treat me gon' leave you won't leave me I call it that Casanova"", ""She say I'm insane yeah I might blow my brain out HeyXanny help the pain yeahPlease Xanny make it go awayI'm committed not addicted but it keep control of meAll the pain now I can't feel it I swear that it's slowin' me yeah""]"
17,299177,Drunk in Love,Beyoncé (Ft. JAY-Z),https://genius.com/Beyonce-drunk-in-love-lyrics,8831079,Rap,"['Verse 1 Beyonc', ""I've been drinkin' I've been drinkin'I get filthy when that liquor get into meI've been thinkin' I've been thinkin'Why can't I keep my fingers off itBaby I want you nana"", ""Why can't I keep my fingers off youBaby I want you nana"", 'Cigars on ice cigars on ice', ""Feelin' like an animal with these cameras all in my grillFlashin' lights flashin' lights"", ""You got me faded faded fadedBaby I want you nanaCan't keep your eyes off my fattyDaddy I want you nanaDrunk in love I want you Ah"", 'PreChorus Beyonc', ""We woke up in the kitchen sayin' How the hell did this shit happen oh babyDrunk in love"", ""we be all nightLast thing I remember is our beautiful bodies grindin' up in that clubDrunk in love"", 'Chorus Beyonc', 'We be all nightLove loveWe be all nightLove love']"
18,531,The Real Slim Shady,Eminem,https://genius.com/Eminem-the-real-slim-shady-lyrics,8339185,Rap,"['May I have your attention pleaseMay I have your attention please', 'Will the real Slim Shady please stand up', 'I repeatWill the real Slim Shady please stand up', ""We're gonna have a problem here"", ""Y'all act like you never seen a white person before"", ""It's the return of the"", ""Oh wait no way you're kiddingHe didn't just say what I think he did did he"", 'Feminist women love Eminem', 'Chickachickachicka Slim Shady', ""I'm sick of him"", ""Look at him walkin' around grabbin' his youknowwhatFlippin' the youknowwho Yeah but he's so cute though"", 'Yeah I probably got a couple of screws up in my head loose', ""But no worse than what's goin' on in your parents' bedrooms"", 'Sometimes I wanna get on TV and just let loose', ""But can't but it's cool for Tom Green to hump a dead mooseMy bum is on your lips my bum is on your lips"", ""And if I'm lucky you might just give it a little kiss"", ""And that's the message that we deliver to little kidsAnd expect them not to know what a woman's clitoris is"", ""Of course they're gonna know what intercourse is"", 'By the time they hit fourth grade', ""they've got the Discovery Channel don't they"", 'Well some of us cannibals who cut other people open like cantaloupes', 'But if we can hump dead animals and antelopes', ""Then there's no reason that a man and another man can't elope""]"
19,2398213,Work,Rihanna (Ft. Drake),https://genius.com/Rihanna-work-lyrics,8267556,R&B,"['Work work work work work workHe said me haffi work work work work work workHe see me do mi dirt dirt dirt dirt dirt dirtAh so me put in work work work work work workWhen you ah guh learn learn learn learn learn learnMe nuh cyar if him hurt hurt hurt hurt hurting', 'Dry me ah desert himNuh time to have you lurkingHim ah go act like he nuh like itYou know I dealt with you the nicest', 'Nuh badda text me in a crisis', 'I believed all of your dreams adorationYou took my heart and my keys and my patience', 'You took my heart on my sleeve for decoration', ""You mistaken my love I brought for you for foundationAll that I wanted from you was to give meSomething that I never hadSomething that you've never seenSomething that you've never been mm"", ""But I wake up and act like nothing's wrong"", 'Just get ready fi work work work work work workHe said me haffi work work work work work workHe see me do mi dirt dirt dirt dirt dirt dirtAh so me put in work work work work work work']"
